pm_2_5,pm_2_5_Lag1,pm_2_5_Lag2,pm_2_5_Lag3,pm_2_5_Lag4,pm_2_5_Lag5,pm_2_5_Lag6,pm_2_5_Lag7
39.0,19.52631579,7.996219282,3.198887344,1.100546448,2.640378213,11.39471637,6.528542504
23.74348856,39.0,19.52631579,7.996219282,3.198887344,1.100546448,2.640378213,11.39471637
21.59495445,23.74348856,39.0,19.52631579,7.996219282,3.198887344,1.100546448,2.640378213
27.31868898,21.59495445,23.74348856,39.0,19.52631579,7.996219282,3.198887344,1.100546448
28.82160279,27.31868898,21.59495445,23.74348856,39.0,19.52631579,7.996219282,3.198887344
24.64295676,28.82160279,27.31868898,21.59495445,23.74348856,39.0,19.52631579,7.996219282
21.79805014,24.64295676,28.82160279,27.31868898,21.59495445,23.74348856,39.0,19.52631579
29.50348675,21.79805014,24.64295676,28.82160279,27.31868898,21.59495445,23.74348856,39.0
36.33988355,29.50348675,21.79805014,24.64295676,28.82160279,27.31868898,21.59495445,23.74348856
31.84895833,36.33988355,29.50348675,21.79805014,24.64295676,28.82160279,27.31868898,21.59495445
26.64195804,31.84895833,36.33988355,29.50348675,21.79805014,24.64295676,28.82160279,27.31868898
27.64011181,26.64195804,31.84895833,36.33988355,29.50348675,21.79805014,24.64295676,28.82160279
28.90048713,27.64011181,26.64195804,31.84895833,36.33988355,29.50348675,21.79805014,24.64295676
28.39121339,28.90048713,27.64011181,26.64195804,31.84895833,36.33988355,29.50348675,21.79805014
28.32588974,28.39121339,28.90048713,27.64011181,26.64195804,31.84895833,36.33988355,29.50348675
28.42887029,28.32588974,28.39121339,28.90048713,27.64011181,26.64195804,31.84895833,36.33988355
34.5726257,28.42887029,28.32588974,28.39121339,28.90048713,27.64011181,26.64195804,31.84895833
41.07724719,34.5726257,28.42887029,28.32588974,28.39121339,28.90048713,27.64011181,26.64195804
40.74471086,41.07724719,34.5726257,28.42887029,28.32588974,28.39121339,28.90048713,27.64011181
35.3630662,40.74471086,41.07724719,34.5726257,28.42887029,28.32588974,28.39121339,28.90048713
33.58525689,35.3630662,40.74471086,41.07724719,34.5726257,28.42887029,28.32588974,28.39121339
35.26047486,33.58525689,35.3630662,40.74471086,41.07724719,34.5726257,28.42887029,28.32588974
28.23438596,35.26047486,33.58525689,35.3630662,40.74471086,41.07724719,34.5726257,28.42887029
15.33031359,28.23438596,35.26047486,33.58525689,35.3630662,40.74471086,41.07724719,34.5726257
